,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-1.2691999468124673,-1.1980565112862165,-1.1666434930861471,-1.1363531170046928,-1.1131442618869343,-1.0737064015619937,-1.054201638956917,-1.0036455734478706,-0.9916282634084,-0.9760035875621655,-1.1001271749911488,-0.9541056682808827
1,Consumption ($C_t$),-1.331148150988397,-0.9555099431164606,-1.1764745814350333,-1.3263590050544787,-1.394435857419941,-1.4379646490095366,-1.4712966781752024,-1.5041387710106404,-1.5196110646759167,-1.5334115326042004,-1.3575080271874023,-1.7063143560300056
2,Capital Stock ($K_t$),-3.4489024679722533,-3.419450235072665,-3.329066985068735,-3.2696299444755392,-3.225356005463071,-3.1748289168244495,-3.135833255789871,-3.152572317053452,-3.1214663720709654,-3.0901775024528177,-3.2383802184712964,-3.1588353510106986
3,Labor ($L_t$),-0.06362183327909803,0.006849470430628458,0.04191631746252811,0.07232384007139248,0.09371540021466064,0.12974895134393458,0.1461353509229377,0.17970274737970243,0.1884111834548193,0.20016290592998232,0.09815641882883834,0.29055164158458696
4,Real interest rate ($r_t$),-0.264882370939646,-0.27022114685676085,-0.2649152807957631,-0.26681036349051124,-0.2724711834600589,-0.281426414756552,-0.2895730722839247,-0.32526121070998104,-0.33434593668413265,-0.34449924795137354,-0.2914512518145826,-0.18469707616037656
5,Wage rate,-1.206333840504253,-1.2048088469308582,-1.2080698431259846,-1.2078305103080131,-1.2057619361095826,-1.20193109747901,-1.1986223011534487,-1.1812647261560976,-1.177859855979138,-1.1738567128780364,-1.1966350264122052,-1.2410577597374604
